url,title,product_description,rating,reviews_count,tags,product_details,amount_of_stars,seller_name,delivery_price,item_price,total_price,currency,price_from,price_to
https://www.google.com/shopping/product/5843255040789351247?hl=en,Apple iPhone 14 256GB Purple,"[""Our longest battery life ever"",""Emergency SOS via satellite"",""A huge leap in low-light photos"",""Big and bigger""]",4.6,27052.0,"[""Smartphone"",""Dual SIM"",""5G"",""With Wireless Charging"",""Dual Lens"",""iOS"",""GSM"",""Facial Recognition"",""With OLED Display"",""2532 x 1170""]","IPHONE 14 PURPLE Introducing the iPhone 14 Purple, a stunning addition to the iconic iPhone series. With its sleek design and powerful performance, this device is perfect for tech enthusiasts and style seekers alike. Featuring a vibrant purple color, this iPhone 14 model stands out from the crowd, making a bold statement wherever you go. The combination of the beautiful hue and Apple's meticulous attention to detail creates a device that not only looks incredible but also feels premium in your hands. Powered by the latest technology, the iPhone 14 Purple is equipped with a lightning-fast processor, ensuring smooth multitasking and lightning-quick app launches. Whether you're streaming videos, playing graphics-intensive games, or editing photos and videos, this device can handle it all with ease. Capture every moment in stunning detail with the advanced camera system. The iPhone 14 Purple features an upgraded camera setup, delivering high-resolution photos and videos that will impress even the most discerning photographers. With features like optical image stabilization and Night Mode, you can capture clear and vibrant images in any lighting condition. Stay connected throughout the day with 5G capability, allowing you to stream, download, and share content faster than ever before. The iPhone 14 Purple also offers an impressive battery life, ensuring that you can use your device all day without worrying about running out of power. Experience the future of mobile technology with the iPhone 14 Purple. Combining style, performance, and innovation, this device is a true game-changer. Upgrade to the iPhone 14 Purple and elevate your smartphone experience to new heights.","{""1_star"":1425,""2_stars"":399,""3_stars"":841,""4_stars"":2552,""5_stars"":21835}",ngp███reu███com███,Delivery date & cost shown at checkout,$939.00,939.0,USD,939.0,939.0
https://www.google.com/shopping/product/5738884373436743181?psb=1,Apple iPhone 12 128GB White Good,"[""6.1-inch (15.5 cm diagonal) Super Retina XDR display"",""Ceramic Shield, tougher than any smartphone glass"",""Advanced dual-camera system with (12MP) Ultra Wide and Wide cameras; Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording"",""12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording"",""Industry-leading IP68 water resistance"",""Supports MagSafe accessories for easy attachment and faster wireless charging"",""iOS with redesigned widgets on the Home screen, all-new App Library, App Clips and more""]",4.5,43404.0,"[""Smartphone"",""Single SIM"",""5G"",""With Wireless Charging"",""Dual Lens"",""iOS"",""With OLED Display"",""2532 x 1170"",""White"",""Wide Angle""]","The iPhone 12 provides the best user experience, with the A14 Bionic chip and a Super Retina XDR OLED display, protected by a new Ceramic Shield. The iPhone 12 can take superb pictures even in Night Mode with its 12-megapixel dual camera system which includes a wide and an ultra-wide angle lens. All of these exceptional features are complemented by a fresh new design, a MagSafe system designed to charge in wireless mode and support for faster 5G cellular networks.","{""1_star"":2985,""2_stars"":958,""3_stars"":1549,""4_stars"":5143,""5_stars"":32769}",Mer███i,$23.25 delivery,SALE$252.29$292.29Was $292.29Used,300.14,USD,252.29,292.29
https://www.google.com/shopping/product/17100469874350605212?psb=1,Sony PlayStation PS3 320GB Uncharted 3 Bundle,,4.6,14415.0,"[""Blu-ray Compatible"",""PlayStation Network"",""Charcoal Black"",""Bluetooth"",""Wi-Fi""]","Play exciting games and watch high-definition movies with the PlayStation 3 320GB Uncharted 3 Bundle (PS3). The high-performance console's incredible memory capacity helps you download interesting games, videos, and other contents and store your favorite music, movies, videos, and more. The console's built-in Blu-ray player helps you watch high-definition movies and TV shows in brilliant picture quality. This PS3 bundle's easy-to-use controller helps you control actions of game characters with gentle touch and moves. You will enjoy stereoscopic 3D viewing as you play the included PS3 game, Uncharted. The game features realistic motion in great detail and has an upgraded graphic support to give you an in-depth gaming experience. This Uncharted 3 bundle gives you access to PlayStation Network membership that lets you watch behind the scenes videos, play the latest game demos, and more.","{""1_star"":495,""2_stars"":160,""3_stars"":512,""4_stars"":1927,""5_stars"":11321}",eBa███ it███aza███,Free delivery,$169.59Used,183.58,USD,169.59,183.58
https://www.google.com/shopping/product/12444012904281347695?psb=1,PlayStation 3 250GB Console,"[""New slimmer, lighter PS3 system"",""250GB HDD for storing games, music, videos, and photos"",""High-Definition Blu-ray player for the best movie experience"",""Free PlayStation Network membership"",""Plays DVDs and CDs"",""Internet ready with built-in Wi-Fi"",""Includes DUALSHOCK3 wireless controller"",""HDMI output for 1080p resolution""]",4.6,14415.0,"[""Blu-ray Compatible"",""Classic Edition"",""PlayStation Network"",""Black"",""Bluetooth"",""Wi-Fi""]","Cleaned, tested, and guaranteed to work! Unleash a world of entertainment with the PlayStation 3 Slim 250GB Console - Black, a must-have addition to your gaming gear from the iconic PS3 category. This sleek, slimmed-down version not only saves space but also enhances your gaming experience with its powerful 250GB hard drive, allowing you to store ample games, movies, and other media. Engine through demanding games with faster loading times and a quieter operation, thanks to its advanced processing capabilities and reduced noise profile. Experience the richness of high-definition graphics and the thrill of various multimedia options, all packed into a stylish black console that fits perfectly in your living room setup. Connect with a vast online community of gamers across the world, and enjoy backward compatibility with a massive library of PS3 games, making the PlayStation 3 Slim an enduring favorite among gaming enthusiasts. Comes complete with one controller, as well as HDMI and power cables.","{""1_star"":495,""2_stars"":160,""3_stars"":512,""4_stars"":1927,""5_stars"":11321}",eBay,"$5.99 delivery by Tue, Dec 3",$100.00Used,115.09,USD,100.0,115.09
https://www.google.com/shopping/product/10919217653091955982?hl=en,"Smartphone Samsung SM-S916B 6,6"" Cream 8 GB Ram 256 GB","[""Shoot your shot"",""More light for your night"",""Get all the details"",""Turn misfires into masterpieces"",""More power to you"",""Stunning in any scenario"",""Multi Control makes multitasking easier""]",4.6,7904.0,"[""Smartphone"",""Dual SIM"",""5G"",""With Wireless Charging"",""With Fast Charging"",""Triple Lens"",""Android"",""Facial Recognition"",""Fingerprint Scanner"",""With OLED Display""]","Get ready to be nominated group photographer amongst your friends. With the power of a Pro-Grade Camera the Galaxy S23+ comes packed with a 50MP, plus AI-powered Nightography, your photos will be bright and sharp, day or night. Powered with the latest generation of Qualcomm Snapdragon 8 Gen 2 Processor, the Galaxy S23+ will take your multitasking, gaming and photography to the next level. And a worry-free battery to power you through. Galaxy S23+ s cameras will quickly turn you into the group s designated photographer. Pack the power of a Pro-Grade Camera, giving you the tools to capture the perfect pics after sundown. With improved integration with social apps, you can share your favourite moments instantly. The Galaxy S23+ is packed with the power required to take your multitasking, gaming and photography to the next level. With the latest Qualcomm Snapdragon 8 Gen 2 Processor for Galaxy and 8GB RAM, you can unlock higher frame rates and enjoy sharper, more vivid graphics. With a long-lasting 4,700mAh (typical) battery on Galaxy S23+ you can easily blast through quests, binge-watch your shows, then power up in no time with 45W Super-Fast Charging.","{""1_star"":251,""2_stars"":137,""3_stars"":381,""4_stars"":1285,""5_stars"":5850}",,"$7.99 delivery by Thu, Dec 12","$639.02(SAR 2,399.00)",647.01,USD,639.02,647.01
https://www.google.com/shopping/product/1385610877525113762?hl=en,Samsung Galaxy S23 Ultra (S918) Dual 5G 256GB 8GB Ram Green,"[""If you don't like the products, you can return them within 30 days, unless otherwise specified."",""Exceptions to this are always explicitly mentioned in the product description."",""DeinDeal is available 24/7!"",""Every day, new exclusive offers and items are available in our different channels.""]",4.7,49880.0,"[""Smartphone"",""Dual SIM"",""5G"",""Unlocked"",""Android"",""3088 x 1440"",""Green""]",,"{""1_star"":1261,""2_stars"":635,""3_stars"":1450,""4_stars"":6699,""5_stars"":39835}",eBay,Delivery date & cost shown at checkout,$779.99,842.39,USD,779.99,842.39
https://www.google.com/shopping/product/1995400874873888977?hl=en,"Samsung Galaxy S23 Ultra 5G, 256GB (Cream), Imported","[""Note's signature tool comes built in"",""Get ready to become your group's go-to photographer"",""Low light, camera, action"",""200MP wow-worthy resolution"",""RAW power, from snap to edit"",""Power for those who don't pause"",""Bring on the boss battles"",""A bright future in sight""]",4.7,49880.0,"[""Smartphone"",""Dual SIM"",""5G"",""With Wireless Charging"",""With Fast Charging"",""Unlocked"",""Android"",""With OLED Display"",""3088 x 1440"",""USB C""]","Introducing the Samsung Galaxy S23 Ultra the ultimate smartphone that combines cutting-edge technology with stunning design. With its quad rear camera system including a 200MP lens you can capture breathtaking photos and videos with incredible detail and clarity. The 6.8"" Dynamic AMOLED display with QHD+ resolution and 120Hz refresh rate brings your content to life with vibrant colors and smooth visuals. Powered by the Snapdragon 8 Gen 2 chipset this phone delivers lightning-fast performance for all your multitasking needs. With 256GB of built-in memory you'll have plenty of space to store your apps photos and files. Stay connected at blazing-fast speeds with 5G connectivity and enjoy the convenience of wireless charging and fast charging capabilities. The Samsung Galaxy S23 Ultra runs on the latest Android 13 operating system ensuring you have access to the latest features and updates. With dual SIM support you can easily switch between networks for added flexibility. Plus with virtual assistants like Alexa Google Assistant and Samsung Bixby you can control your phone with just your voice. Experience the future of smartphones with the Samsung Galaxy S23 Ultra.","{""1_star"":1261,""2_stars"":635,""3_stars"":1450,""4_stars"":6699,""5_stars"":39835}",Des███ In███,"$23.72 delivery by Mon, Dec 2","SALE$830.35$1,779.33Was $1,779.33(₹69,999.00)",854.07,USD,830.35,1779.33
https://www.google.com/shopping/product/3932239799154395634?hl=en,Apple iPhone 13 Mini - 128 GB - Blue,"[""Dual 12MP camera system"",""Cinematic mode and Photographic Styles"",""Lightning-fast A15 Bionic chip"",""Ceramic Shield front"",""Super Retina XDR display"",""Durable flat-edge design"",""Advanced 5G experience""]",4.6,6772.0,"[""Dual SIM"",""5G"",""With Wireless Charging"",""Unlocked"",""iOS"",""GSM"",""Facial Recognition"",""Blue"",""Water Resistant""]","Iphone 13 your new superpower. Our most advanced dual‐camera system ever. Get up to 47% better low-light performance. Cinematic mode adds shallow depth of field automatically. You can also shift focus after you shoot. Up to 19 hours of video playback. A big leap in battery life. More powerful than ever before with the new a15 bionic chip and superfast 5g. Ceramic shield is tougher than any smartphone glass. And you get dust, spill, and water resistance.","{""1_star"":239,""2_stars"":126,""3_stars"":230,""4_stars"":779,""5_stars"":5398}",Unl███ed ███ile███,"$24.15 delivery by Mon, Dec 2","$1,003.79(£798.00)",1027.94,USD,1003.79,1027.94
https://www.google.com/shopping/product/538509633756070801?psb=1,Apple iPhone 16 Pro 256GB Natural Titanium,"[""3 months free trial os Secure Net"",""An extra £50 when you trade in"",""Get up to 3 months of free Apple Music""]",4,2479.0,"[""Smartphone"",""Single SIM"",""Triple Lens"",""iOS"",""With OLED Display"",""Natural Titanium"",""Water Resistant"",""With 4K Video"",""Ultra Wide Angle""]","New Apple iPhone 16 Pro. Camera Control gives you an easier way to quickly access camera tools and takes video capture to a whole new level with 4K 120 fps Dolby Vision, our highest resolution and frame rate combo yet. With 4 studio-quality mics and Audio Mix which lets you adjust the way voices sound in your videos using three different voice options, it's a Pro studio in your pocket. Plus iPhone 16 Pro adds a second 48Mp camera to the Pro camera system. The new 48Mp Ultra Wide camera has a more advanced quad-pixel sensor for super-high-resolution 48Mp ProRAW and Heif photos with autofocus. All-new A18 Pro chip powers unrivaled intelligence and unprecedented performance and a huge leap in battery life, up to 27 hours of video playback. iPhone 16 Pro features a Grade 5 titanium design with a new, refined microblasted finish. Internal substructure and back glass optimizations and design improvements that further dissipate heat enabling you to run high-intensity gaming for longer. iPhone 16 Pro is splash, water, and dust resistant and latest-generation Ceramic Shield material is two times tougher than any smartphone glass. Our thinnest borders yet, for even larger displays. Built for Apple Intelligence, the personal intelligence system that helps you write, express yourself, and get things done effortlessly while designed to protect your privacy at every step.","{""1_star"":442,""2_stars"":80,""3_stars"":145,""4_stars"":226,""5_stars"":1586}",Blu███de'███uro█████████sac██████,"Free delivery by Sat, Dec 21","LOW PRICE$1,285.99",1285.99,USD,1285.99,1285.99
https://www.google.com/shopping/product/16444642837306126233?psb=1,Apple iPhone 13 128GB Black Medianoche MLPF3QL/A,"[""6.1 \""Super Retina XDR display"",""Cinema mode with smart depth of field and automatic focus shift in videos"",""Advanced 12MP dual camera system (wide and ultra wide) with Photo Styles, Smart HDR 4, Night mode and 4K HDR video recording with Dolby Vision"",""12MP TrueDepth front camera with Night mode and 4K HDR video recording with Dolby Vision"",""A15 Bionic chip for lightning-fast performance"",""Up to 19 hours of video playback"",""Robust design with Ceramic Shield""]",4.7,70359.0,"[""Smartphone"",""Single SIM"",""5G"",""Dual Lens"",""iOS"",""With OLED Display"",""2532 x 1170"",""Midnight"",""Ultra Wide Angle""]","Your new superpower. Tough front and back. From top to bottom. Ceramic Shield, harder than any smartphone glass. Rugged design with flat edges. The chip that bites the competition in the dust. (A15) Super Retina XDR display, 6.1-inch (15.40 cm) diagonal OLED display, 2532 by 1170 pixel resolution at 460 ppi. Introducing Cinema Mode: Cinema is a technique of selectively shifting focus to direct the audience's attention to the main subject of each scene. And now with iPhone you can use this same narrative device in your videos. Once upon a time Hollywood, but for everyone.Apple iPhone 13 unlocked mobile phone.","{""1_star"":2221,""2_stars"":719,""3_stars"":1498,""4_stars"":5748,""5_stars"":60173}",fru███.co███,Delivery date & cost shown at checkout,$924.00,924.0,USD,924.0,924.0
https://www.google.com/shopping/product/8860779041572253789?psb=1,iPhone 8 Plus 64GB Gold - 24 month warranty,"[""Earphones with 3.5 mm headphone plug"",""Lightning to USB cable"",""USB power adapter"",""Sim card tray eject/open pin"",""Screen protector""]",4.5,16747.0,"[""Single SIM"",""Fingerprint Scanner"",""Gold""]","The strongest glass ever in a smartphone - on the front and back. A colour-matching frame. Made of aluminium, which is also used in space travel. New finishes in space grey, silver and gold. The Retina HD display looks better than any other. With True Tone, a large color space and 3D touch. True Tone technology provides automatic white balance and adapts to the light in any environment. For more relaxed vision. The large color space and the highest color accuracy in the industry make everything on the display look more brilliant and vibrant. Thanks to dual-domain pixels, the display looks great from almost any angle. iPhone 8 Plus has an even more advanced 12 megapixel dual camera. With a larger and faster sensor. A new color filter. Richer pixels. And optical image stabilization for photos and videos. The dual camera and new face recognition provide spectacular studio-quality lighting effects in portrait mode. The new A11 Bionic. With four efficiency cores that are up to 70% faster than the A10 merger. And two performance cores that are up to 25% faster. A 2nd generation performance controller gives you more power just when you need it. With the same great battery life. The new three-core GPU developed by Apple is up to 30% faster than the A10 Fusion. The A11 Bionic delivers the power for exceptional augmented reality apps and games that will change your view of the world.","{""1_star"":1089,""2_stars"":353,""3_stars"":609,""4_stars"":2147,""5_stars"":12549}",all███lo.███,Delivery date & cost shown at checkout,"$169.90RefurbishedRefurbished itemThis item has been returned to the store or manufacturer. Before being sold again, it's expected to be in near-mint condition and show next to no signs of use.",203.88,USD,169.9,203.88
